StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260203,20260205,20260206,20260209,20260210,20260211,20260223,20260224,20260225,20260226,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2316,楠梓電,電子零組件,印刷電路板 印刷電路板相關 電子製造服務 電腦系統業,21,3.56%,3.56%,0.00%,106.3578369476256,112.5,5.77%,-1.33%,-4.00%,-14.76%,,,,,,,,,,,,"Hits:21 | Rat:3.6%
[BUY|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
[BUY|Mix|WR81%|9316華南淡水_ON_L, 9686富邦宜蘭_DT_M]
[BUY|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
[BUY|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|6160中國信託_DT_L, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 981Q元大太平_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 989B元大中港_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9M永豐南投_DT_M]
[BUY|Mix|WR75%|700f兆豐鹿港_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9278凱基永康_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9A永豐羅東_DT_M]
[BUY|Mix|WR75%|779V國票天祥_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 962E富邦樹林_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9j永豐嘉義_DT_M]
[BUY|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|8841玉山雙和_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|9189群益桃園_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 9838元大豐原_DT_M]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 9817元大東泰_DT_M]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 989S元大鹿港_DT_M]","20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 9686富邦宜蘭_DT_M]
20260226: [BUY|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
20260226: [BUY|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|6160中國信託_DT_L, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 981Q元大太平_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 989B元大中港_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9M永豐南投_DT_M]
20260226: [BUY|Mix|WR75%|700f兆豐鹿港_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9278凱基永康_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9A永豐羅東_DT_M]
20260226: [BUY|Mix|WR75%|779V國票天祥_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 962E富邦樹林_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9j永豐嘉義_DT_M]
20260226: [BUY|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|8841玉山雙和_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|9189群益桃園_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 9838元大豐原_DT_M]
20260226: [SELL|Mix|WR72%|9316華南淡水_ON_L, 9817元大東泰_DT_M]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 989S元大鹿港_DT_M]",21,21,0,0,0,20,22
6770,力積電,半導體業,專業晶圓代工 IC製造,2,-0.06%,-0.02%,-0.03%,68.248778204554,78.9,15.61%,3.47%,4.05%,2.78%,-11.26%,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]","Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]","Hits:1 | Rat:0.1%
[BUY|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]",,"Hits:1 | Rat:-0.1%
[SELL|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]","Hits:1 | Rat:-0.0%
[SELL|ON|WR75%|6167中信松江_ON_L, 6381光和溪湖_ON_M]",,"20260209: [BUY|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260210: [SELL|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260211: [BUY|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260224: [SELL|ON|WR84%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260225: [SELL|ON|WR75%|6167中信松江_ON_L, 6381光和溪湖_ON_M]",0,4,0,0,0,3,1
2409,友達,光電業,面板業 中小尺吋面板 TFT-LCD OLED 觸控面板,2,-0.03%,0.12%,-0.15%,16.22671461454199,16.8,3.53%,-1.99%,-3.14%,-2.56%,-11.43%,,,,,"Hits:3 | Rat:0.3%
[BUY|Mix|WR81%|585R統一東湖_SW_M, 920D凱基市府_ON_L]
[BUY|Mix|WR76%|920D凱基市府_ON_L, 9328華南潮州_SW_M]
[BUY|Mix|WR75%|913I群益萬華_DT_S, 9223凱基豐中_ON_L]",,,"Hits:2 | Rat:0.3%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
[BUY|Mix|WR81%|585R統一東湖_SW_M, 920D凱基市府_ON_L]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]","Hits:1 | Rat:0.0%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]",,"20260209: [BUY|Mix|WR81%|585R統一東湖_SW_M, 920D凱基市府_ON_L]
20260209: [BUY|Mix|WR76%|920D凱基市府_ON_L, 9328華南潮州_SW_M]
20260209: [BUY|Mix|WR75%|913I群益萬華_DT_S, 9223凱基豐中_ON_L]
20260223: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260223: [BUY|Mix|WR81%|585R統一東湖_SW_M, 920D凱基市府_ON_L]
20260224: [SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260225: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]",2,2,0,0,0,0,4
2369,菱生,半導體業,IC封裝 IC測試 IC封裝測試,2,-1.36%,-1.36%,0.00%,27.683333333333334,29.25,5.66%,2.99%,3.52%,5.11%,,,,,,,,,,,"Hits:2 | Rat:-1.4%
[SELL|ON|WR72%|8713陽信高雄_ON_M, 9898元大新莊_ON_L]
[SELL|ON|WR72%|8713陽信高雄_ON_M, 9337華南內壢_ON_M]",,"20260225: [SELL|ON|WR72%|8713陽信高雄_ON_M, 9898元大新莊_ON_L]
20260225: [SELL|ON|WR72%|8713陽信高雄_ON_M, 9337華南內壢_ON_M]",0,4,0,0,0,3,1
3504,揚明光,光電業,顯示器 投影機 數位相機 光學鏡片/頭 週邊產品 3D印表機,2,0.36%,0.36%,0.00%,61.92748672834825,65.7,6.09%,1.00%,1.46%,-1.20%,,,,,,,,,,,"Hits:1 | Rat:0.4%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]","Hits:1 | Rat:0.3%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]","20260225: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260226: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]",2,2,0,0,0,0,4
6706,惠特,光電業,半導體設備 設備儀器廠商 LED設備,2,-0.04%,-0.04%,0.00%,124.00862068965516,133.5,7.65%,3.15%,5.85%,9.93%,5.98%,,,,,,,,,"Hits:1 | Rat:0.0%
[BUY|ON|WR86%|601d?亞鑫豐_ON_M, 9B2N元富虎尾_ON_S]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]",,"20260224: [BUY|ON|WR86%|601d?亞鑫豐_ON_M, 9B2N元富虎尾_ON_S]
20260225: [SELL|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]",1,3,0,0,2,2,0
3231,緯創,電腦及週邊設備業,伺服器 筆記型電腦製造 電子製造服務 電腦系統業,2,-0.26%,-0.26%,0.00%,136.65094746468117,139.0,1.72%,-0.36%,-2.51%,-2.15%,,,,,,,,,,,"Hits:2 | Rat:-0.3%
[SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
[SELL|DT|WR75%|1035土銀新竹_DT_L, 6382光和田中_DT_M]",,"20260225: [SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260225: [SELL|DT|WR75%|1035土銀新竹_DT_L, 6382光和田中_DT_M]",3,1,0,0,0,1,3
2312,金寶,其他電子業,車用電子 桌上型電腦 筆記型電腦製造 通訊設備 手機 手機製造 視訊轉換相關 消費性電子產品 週邊產品 印表機 3D印表機 硬碟相關 POS機系統 穿戴式裝置 電子製造服務 電腦系統業 家電,1,0.19%,0.19%,0.00%,25.298489950005106,26.1,3.17%,0.58%,0.58%,-2.89%,-9.25%,,,,,,,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR81%|8841玉山雙和_ON_L, 9A69永豐屏東_DT_S]",,,"20260224: [BUY|Mix|WR81%|8841玉山雙和_ON_L, 9A69永豐屏東_DT_S]",1,1,0,0,1,0,1
2352,佳世達,電腦及週邊設備業,醫療服務 醫療耗材 診斷與監測用醫材 醫學影像裝置 其他醫療器材 醫療管理服務 掃瞄器 顯示器 LCD顯示器 通訊設備 消費性電子產品 週邊產品 工業電腦 安全監控系統 電子製造服務 電腦系統業,1,0.79%,0.49%,0.30%,26.08222311776977,26.4,1.22%,1.14%,0.00%,-2.84%,-8.14%,,,,,,,,"Hits:1 | Rat:0.2%
[BUY|Mix|WR72%|913g群益三重_DT_S, 9893元大大天_ON_L]","Hits:1 | Rat:0.8%
[BUY|Mix|WR81%|9305華南新莊_DT_S, 9362華南苗栗_ON_L]",,,"20260223: [BUY|Mix|WR72%|913g群益三重_DT_S, 9893元大大天_ON_L]
20260224: [BUY|Mix|WR81%|9305華南新莊_DT_S, 9362華南苗栗_ON_L]",1,1,0,0,1,0,1
6426,統新,通訊網路業,光通訊 光纖零組件,1,-0.41%,-3.92%,3.50%,154.74672489082968,194.5,25.69%,-0.77%,-7.71%,-20.31%,,,,,,,,"Hits:2 | Rat:-6.8%
[BUY|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]
[SELL|ON|WR71%|981e元大佳里_ON_S, 9B2o元富新興_ON_M]",,,,"Hits:1 | Rat:-0.4%
[SELL|ON|WR71%|981e元大佳里_ON_S, 9B2o元富新興_ON_M]","20260211: [BUY|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]
20260211: [SELL|ON|WR71%|981e元大佳里_ON_S, 9B2o元富新興_ON_M]
20260226: [SELL|ON|WR71%|981e元大佳里_ON_S, 9B2o元富新興_ON_M]",0,2,0,0,1,1,0
