StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260203,20260205,20260206,20260209,20260210,20260211,20260223,20260224,20260225,20260226,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2316,楠梓電,電子零組件,印刷電路板 印刷電路板相關 電子製造服務 電腦系統業,22,2.50%,2.50%,0.00%,106.34935874183077,112.5,5.78%,,,,,,,,,,,,,,"Hits:1 | Rat:-0.2%
[SELL|Mix|WR90%|6912德信中正_ON_XS, 918C群益古亭_DT_L]","Hits:21 | Rat:3.6%
[BUY|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
[BUY|Mix|WR81%|9316華南淡水_ON_L, 9686富邦宜蘭_DT_M]
[BUY|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
[BUY|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|6160中國信託_DT_L, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 981Q元大太平_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 989B元大中港_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9M永豐南投_DT_M]
[BUY|Mix|WR75%|700f兆豐鹿港_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9278凱基永康_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9A永豐羅東_DT_M]
[BUY|Mix|WR75%|779V國票天祥_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 962E富邦樹林_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9j永豐嘉義_DT_M]
[BUY|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|8841玉山雙和_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|9189群益桃園_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 9838元大豐原_DT_M]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 9817元大東泰_DT_M]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 989S元大鹿港_DT_M]","20260225: [SELL|Mix|WR90%|6912德信中正_ON_XS, 918C群益古亭_DT_L]
20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 9686富邦宜蘭_DT_M]
20260226: [BUY|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
20260226: [BUY|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|6160中國信託_DT_L, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 981Q元大太平_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 989B元大中港_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9M永豐南投_DT_M]
20260226: [BUY|Mix|WR75%|700f兆豐鹿港_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9278凱基永康_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9A永豐羅東_DT_M]
20260226: [BUY|Mix|WR75%|779V國票天祥_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 962E富邦樹林_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9j永豐嘉義_DT_M]
20260226: [BUY|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|8841玉山雙和_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|9189群益桃園_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 9838元大豐原_DT_M]
20260226: [SELL|Mix|WR72%|9316華南淡水_ON_L, 9817元大東泰_DT_M]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 989S元大鹿港_DT_M]",22,22,0,1,0,20,23
2409,友達,光電業,面板業 中小尺吋面板 TFT-LCD OLED 觸控面板,2,-0.03%,0.13%,-0.16%,15.996751298458783,16.8,5.02%,-1.99%,,,,,"Hits:1 | Rat:-0.2%
[SELL|ON|WR80%|538W第一華江_ON_L, 9225凱基內埔_ON_S]",,,"Hits:5 | Rat:0.6%
[BUY|Mix|WR87%|585R統一東湖_SW_M, 920D凱基市府_ON_L]
[BUY|Mix|WR84%|920D凱基市府_ON_L, 9328華南潮州_SW_M]
[BUY|Mix|WR83%|918M群益嘉義_ON_M, 9B2A元富緯城_DT_S]
[BUY|Mix|WR75%|913I群益萬華_DT_S, 9223凱基豐中_ON_L]
[BUY|ON|WR73%|845D康和板橋_ON_M, 920D凱基市府_ON_L]",,,"Hits:2 | Rat:0.3%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
[BUY|Mix|WR87%|585R統一東湖_SW_M, 920D凱基市府_ON_L]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]","Hits:1 | Rat:0.0%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]",,"20260203: [SELL|ON|WR80%|538W第一華江_ON_L, 9225凱基內埔_ON_S]
20260209: [BUY|Mix|WR87%|585R統一東湖_SW_M, 920D凱基市府_ON_L]
20260209: [BUY|Mix|WR84%|920D凱基市府_ON_L, 9328華南潮州_SW_M]
20260209: [BUY|Mix|WR83%|918M群益嘉義_ON_M, 9B2A元富緯城_DT_S]
20260209: [BUY|Mix|WR75%|913I群益萬華_DT_S, 9223凱基豐中_ON_L]
20260209: [BUY|ON|WR73%|845D康和板橋_ON_M, 920D凱基市府_ON_L]
20260223: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260223: [BUY|Mix|WR87%|585R統一東湖_SW_M, 920D凱基市府_ON_L]
20260224: [SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260225: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]",2,2,0,0,0,0,4
2369,菱生,半導體業,IC封裝 IC測試 IC封裝測試,2,-1.36%,-0.54%,-0.82%,26.95878227281968,29.25,8.50%,2.99%,,,,,"Hits:1 | Rat:0.4%
[BUY|ON|WR84%|913E群益基隆_ON_S, 989g元大嘉義_ON_L]",,,,,,,,"Hits:2 | Rat:-1.4%
[SELL|ON|WR72%|8713陽信高雄_ON_M, 9898元大新莊_ON_L]
[SELL|ON|WR72%|8713陽信高雄_ON_M, 9337華南內壢_ON_M]",,"20260203: [BUY|ON|WR84%|913E群益基隆_ON_S, 989g元大嘉義_ON_L]
20260225: [SELL|ON|WR72%|8713陽信高雄_ON_M, 9898元大新莊_ON_L]
20260225: [SELL|ON|WR72%|8713陽信高雄_ON_M, 9337華南內壢_ON_M]",0,4,0,0,0,3,1
3504,揚明光,光電業,顯示器 投影機 數位相機 光學鏡片/頭 週邊產品 3D印表機,2,0.36%,0.36%,0.00%,61.92748672834825,65.7,6.09%,,,,,,,,,,,,,,"Hits:1 | Rat:0.4%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]","Hits:1 | Rat:0.3%
[BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]","20260225: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260226: [BUY|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]",2,2,0,0,0,0,4
6770,力積電,半導體業,專業晶圓代工 IC製造,2,-0.06%,-0.02%,-0.03%,68.248778204554,78.9,15.61%,3.47%,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]","Hits:1 | Rat:-0.1%
[SELL|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]","Hits:1 | Rat:0.1%
[BUY|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]",,"Hits:1 | Rat:-0.1%
[SELL|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]","Hits:1 | Rat:-0.0%
[SELL|ON|WR87%|6167中信松江_ON_L, 6381光和溪湖_ON_M]",,"20260209: [BUY|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260210: [SELL|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260211: [BUY|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260224: [SELL|ON|WR100%|8587聯邦興中_ON_M, 9608富邦台東_ON_M]
20260225: [SELL|ON|WR87%|6167中信松江_ON_L, 6381光和溪湖_ON_M]",0,4,0,0,0,3,1
6706,惠特,光電業,半導體設備 設備儀器廠商 LED設備,2,-0.04%,-0.04%,0.00%,124.00862068965517,133.5,7.65%,3.15%,,,,,,,,,,,,"Hits:1 | Rat:0.0%
[BUY|ON|WR86%|601d?亞鑫豐_ON_M, 9B2N元富虎尾_ON_S]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]",,"20260224: [BUY|ON|WR86%|601d?亞鑫豐_ON_M, 9B2N元富虎尾_ON_S]
20260225: [SELL|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]",1,3,0,0,2,2,0
6753,龍德造船,航運,造船 機械,2,-0.11%,0.06%,-0.17%,152.84352321102776,154.5,1.08%,-1.59%,,,,,,,,,,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR84%|8586聯邦大業_SW_S, 9B00元富證券_ON_M]",,"Hits:2 | Rat:-0.1%
[SELL|Mix|WR84%|8586聯邦大業_SW_S, 9B00元富證券_ON_M]
[SELL|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]",,"20260223: [BUY|Mix|WR84%|8586聯邦大業_SW_S, 9B00元富證券_ON_M]
20260225: [SELL|Mix|WR84%|8586聯邦大業_SW_S, 9B00元富證券_ON_M]
20260225: [SELL|Mix|WR76%|981I元大天母_DT_M, 9B2N元富虎尾_ON_S]",1,2,1,0,2,2,0
3231,緯創,電腦及週邊設備業,伺服器 筆記型電腦製造 電子製造服務 電腦系統業,2,-0.26%,-0.26%,0.00%,136.65094746468117,139.0,1.72%,-0.36%,,,,,,,,,,,,,"Hits:2 | Rat:-0.3%
[SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
[SELL|DT|WR75%|1035土銀新竹_DT_L, 6382光和田中_DT_M]",,"20260225: [SELL|Mix|WR90%|7790國票綜合_ON_L, 9B2l元富大裕_DT_L]
20260225: [SELL|DT|WR75%|1035土銀新竹_DT_L, 6382光和田中_DT_M]",3,1,0,0,0,1,3
8422,可寧衛*,35,傳產其他 回收、焚化相關,2,0.16%,0.16%,0.00%,34.71231473195686,35.5,2.27%,,,,,,,,,,,,,,"Hits:1 | Rat:0.3%
[BUY|Mix|WR81%|9A9C永豐員林_ON_M, 9B2z元富文心_DT_S]","Hits:1 | Rat:-0.1%
[SELL|Mix|WR81%|9A9C永豐員林_ON_M, 9B2z元富文心_DT_S]","20260225: [BUY|Mix|WR81%|9A9C永豐員林_ON_M, 9B2z元富文心_DT_S]
20260226: [SELL|Mix|WR81%|9A9C永豐員林_ON_M, 9B2z元富文心_DT_S]",2,2,0,0,2,2,0
2337,旺宏,半導體業,非揮發性記憶體 IC生產 IC製造,1,-0.05%,-0.23%,0.18%,88.3353532636891,113.0,27.92%,,,,,,"Hits:6 | Rat:-0.4%
[SELL|Mix|WR75%|6160中國信託_DT_L, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9M永豐南投_DT_M]
[BUY|Mix|WR72%|921M凱基八德_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|9189群益桃園_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR72%|913Y群益館前_DT_L, 9316華南淡水_ON_L]
[SELL|Mix|WR72%|5380第一金證_DT_L, 9316華南淡水_ON_L]",,,,"Hits:1 | Rat:-0.0%
[SELL|Mix|WR90%|538D第一忠孝_DT_L, 9B2X元富草屯_SW_M]",,,,,"Hits:1 | Rat:-0.0%
[SELL|DT|WR84%|5460寶    盛_DT_M, 700Z兆豐高雄_DT_L]","20260203: [SELL|Mix|WR75%|6160中國信託_DT_L, 9316華南淡水_ON_L]
20260203: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9M永豐南投_DT_M]
20260203: [BUY|Mix|WR72%|921M凱基八德_DT_M, 9316華南淡水_ON_L]
20260203: [BUY|Mix|WR72%|9189群益桃園_DT_M, 9316華南淡水_ON_L]
20260203: [SELL|Mix|WR72%|913Y群益館前_DT_L, 9316華南淡水_ON_L]
20260203: [SELL|Mix|WR72%|5380第一金證_DT_L, 9316華南淡水_ON_L]
20260210: [SELL|Mix|WR90%|538D第一忠孝_DT_L, 9B2X元富草屯_SW_M]
20260226: [SELL|DT|WR84%|5460寶    盛_DT_M, 700Z兆豐高雄_DT_L]",2,0,0,0,0,1,1
